week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2011-06-05 00:00:00+00:00,64,3769.984375,2.172781854181494,6,3316.6666666666665,1.5607104090414063,1,4000.0,-0.0,0.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2011-06-12 00:00:00+00:00,75,3493.52,2.1279760433614534,12,2061.25,1.4735023850806486,2,900.0,0.6931471805599453,0.5833333333333334,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-06-19 00:00:00+00:00,86,3512.3720930232557,2.1259735829195257,13,3219.230769230769,1.711845135233912,12,2477.5,1.4451858789480823,0.5384615384615384,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-06-26 00:00:00+00:00,88,3470.2727272727275,2.176077567076355,14,2360.714285714286,1.809514255849282,8,4950.0,1.3208883431493221,0.2857142857142857,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2011-07-03 00:00:00+00:00,83,3346.7951807228915,2.1780092104745714,3,4000.0,1.0986122886681096,13,2655.3846153846152,1.605207107455459,0.3333333333333333,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2011-07-10 00:00:00+00:00,75,3488.1866666666665,2.172722386798605,5,3670.0,1.3321790402101223,6,1233.3333333333333,1.7917594692280547,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-07-17 00:00:00+00:00,80,3382.0375,2.148502177480629,11,1486.2727272727273,1.540305825226517,5,4196.0,1.6094379124341005,0.45454545454545453,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-07-24 00:00:00+00:00,79,3317.506329113924,2.113864604547701,4,3125.0,1.0397207708399179,11,2522.7272727272725,1.5465986860485124,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-07-31 00:00:00+00:00,79,3222.1392405063293,2.149315830627706,11,1837.8181818181818,2.1458417525947544,6,3916.6666666666665,1.329661348854758,0.6363636363636364,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2011-08-07 00:00:00+00:00,77,3198.038961038961,2.127216426655027,4,3800.0,1.0397207708399179,4,3300.0,1.3862943611198906,0.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-08-14 00:00:00+00:00,74,3154.7162162162163,2.1255937762989072,1,400.0,-0.0,7,1750.0,1.5498260458782016,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
